date,department,revenue,expenses,employee_count,carbon_emissions_kg,employee_satisfaction
2026-06-14 21:48:52.491379,Finance,36554.97225306047,24862.61331797151,12,190.700201239684,3.0243089493796327
2026-06-13 21:48:52.491388,Marketing,48320.18269239588,35692.40150556136,48,116.39964308639476,4.939757653415278
2026-06-12 21:48:52.491390,HR,72034.11928148588,53487.47418650653,48,184.99866468033557,3.0863198239011522
2026-06-11 21:48:52.491391,Marketing,33141.52498189945,18619.01647292035,9,714.7060960747211,4.782286227396142
2026-06-10 21:48:52.491392,Marketing,64250.0809326077,48515.7526510194,43,164.0697836142061,4.0554022181726
2026-06-09 21:48:52.491393,Engineering,75897.74702863046,56192.519669060835,8,387.0780672643852,4.985929592238601
2026-06-08 21:48:52.491394,HR,56868.276155000225,44030.49015465565,10,860.3877798725091,3.1475931294707977
2026-06-07 21:48:52.491394,HR,24735.68932451178,17664.652673750432,49,120.94474216224327,4.107708568802641
2026-06-06 21:48:52.491395,HR,54902.678359550206,36652.77013377694,36,833.0216343300422,4.938605071238198
2026-06-05 21:48:52.491396,Marketing,48783.21568761969,30844.390555227772,34,353.66929729605994,4.046195688340298
2026-06-04 21:48:52.491397,Finance,57016.92129894727,31297.335400381016,39,206.34834485949062,4.258797276270525
2026-06-03 21:48:52.491397,HR,61041.83526003887,47371.72239079992,44,727.0634488277356,4.391497377969234
2026-06-02 21:48:52.491400,Marketing,38304.47179010182,30240.060303255275,20,666.0485621018956,3.9090821295355465
2026-06-01 21:48:52.491401,Engineering,37341.554594841116,19177.44206944828,17,889.7248121743477,4.255116160168127
2026-05-31 21:48:52.491401,Finance,47741.99212610326,24928.268456904712,46,761.5639394234972,4.1686286238462005
2026-05-30 21:48:52.491402,Engineering,35516.63492157538,21105.6005282373,34,823.1328373463638,4.802316020981978
2026-05-29 21:48:52.491403,Finance,52257.33617165892,30276.314943671718,23,353.83111531417586,3.090892760682916
2026-05-28 21:48:52.491404,Marketing,48298.68122980408,38531.866085217574,21,259.6955894017505,3.5619263791844604
2026-05-27 21:48:52.491405,Sales,89502.92330918186,42099.4990830843,23,775.5532764767725,4.9008229681531175
2026-05-26 21:48:52.491405,Finance,34623.63666783703,14099.788596119948,32,826.1512653405376,4.780527567781832
2026-05-25 21:48:52.491406,Engineering,38269.28260550241,22868.096307575517,30,991.454627800606,3.911313505571426
2026-05-24 21:48:52.491407,Marketing,56359.146046864014,26574.976492945912,41,471.3559092202838,4.240265195603073
2026-05-23 21:48:52.491407,Finance,63090.57646985776,34484.52133895941,30,434.81627721350486,3.554762365962265
2026-05-22 21:48:52.491408,Sales,84308.38974435937,58819.28329539033,27,798.7716646677972,3.3762423194475226
2026-05-21 21:48:52.491409,Sales,74343.80749012061,51176.490572265226,13,406.72318622771604,3.9273968098799643
2026-05-20 21:48:52.491409,HR,62355.99615462712,32626.17348270644,16,937.6815930432083,3.7067044560521056
2026-05-19 21:48:52.491410,HR,54395.88868468359,33563.13866916419,5,872.5714766587106,4.167312223701744
2026-05-18 21:48:52.491411,Engineering,63449.455755664196,38293.37280476169,5,486.0946246375165,3.1554692739299695
2026-05-17 21:48:52.491412,Finance,40845.169739789984,26734.513416223144,38,775.7839610123476,4.948789615332333
2026-05-16 21:48:52.491412,Finance,45257.51154785341,22637.116078276802,36,779.0885866762142,4.972421488959206
2026-05-15 21:48:52.491413,HR,27763.6362971163,17656.23838842359,29,192.81148195233934,4.396323428039491
2026-05-14 21:48:52.491414,Finance,46567.287256414755,36860.668872384005,44,912.29761601161,4.072192732688241
2026-05-13 21:48:52.491414,Finance,64439.61934999553,38322.03936332005,49,554.7271352030714,3.6190552325726557
2026-05-12 21:48:52.491415,Sales,46854.61344744503,35723.808756478575,5,843.8117194969675,4.627590039413898
2026-05-11 21:48:52.491416,HR,38389.35603880244,22026.19039905279,20,388.0446409275506,4.369462345107759
2026-05-10 21:48:52.491416,Marketing,44603.32782062019,24087.195920778613,43,905.9709056465804,3.3252338786897826
2026-05-09 21:48:52.491417,HR,60861.24877288815,40049.217989462755,9,450.2815108607468,4.821854368987685
2026-05-08 21:48:52.491418,Marketing,46163.53044561586,30817.37065587133,26,109.75388633226852,4.645074485846338
2026-05-07 21:48:52.491418,Sales,62748.81806093524,46789.7245503174,33,914.8437787773373,4.899599826583848
2026-05-06 21:48:52.491419,Engineering,30330.13661373336,14924.674898387439,7,182.1580091075202,4.45143901677672
2026-05-05 21:48:52.491420,Finance,36945.42568158389,22155.33503954187,16,387.38227383137337,4.22683039187158
2026-05-04 21:48:52.491420,Sales,42400.351705527144,26661.41237161397,30,955.0557703457245,3.8364860725812377
2026-05-03 21:48:52.491421,Finance,30350.739691812887,21470.769007648607,20,955.5464322438005,4.8654569667080265
2026-05-02 21:48:52.491422,Engineering,94154.95124721926,39304.184900381144,41,616.0940993109575,4.732127779000817
2026-05-01 21:48:52.491422,Engineering,33556.01307077966,26771.66520425833,26,668.6534909528193,3.090437340212379
2026-04-30 21:48:52.491423,Sales,63723.264828890184,37467.865419527654,33,503.6009697804878,3.0527339489945042
2026-04-29 21:48:52.491424,Engineering,40009.09069654357,20477.618306658722,18,363.8896945282581,3.752926733756099
2026-04-28 21:48:52.491424,Marketing,42293.18762737631,31863.586431499436,32,395.79809083292434,4.621106661563665
2026-04-27 21:48:52.491425,Engineering,54519.84201424452,38114.14057528646,9,705.2666104693345,4.974552258629889
2026-04-26 21:48:52.491426,Finance,28122.246185198634,21969.90691975529,34,777.137076493912,3.3008337822070564
2026-04-25 21:48:52.491426,Finance,40058.9252993268,21323.370818740997,9,812.4211393532637,4.18826143070427
2026-04-24 21:48:52.491427,Finance,47802.907898875754,29690.67227929512,16,810.6563285150985,3.7617817132620432
2026-04-23 21:48:52.491428,Finance,37309.744753164414,23464.732280834643,20,182.08549274382133,4.939828795629206
2026-04-22 21:48:52.491428,Marketing,37662.65946829906,29833.82162872592,30,544.9782742323233,4.684237846271417
2026-04-21 21:48:52.491429,HR,66300.90534558911,28518.57213327838,30,151.80288401497987,4.676657409422276
2026-04-20 21:48:52.491430,Sales,65074.80321053948,33987.190633080536,25,594.575994091362,3.9373863195899403
2026-04-19 21:48:52.491430,Finance,43373.509651609806,20661.59644152325,43,497.3774512360393,3.8296390046753306
2026-04-18 21:48:52.491431,Engineering,48737.52372228234,24728.929371521088,40,898.9337644824698,3.5468141438614125
2026-04-17 21:48:52.491432,Finance,68555.24109404693,40729.48794925941,37,415.82351129687083,3.1127509933018542
2026-04-16 21:48:52.491433,Engineering,28602.816729116712,15705.084354382592,34,205.3603147848453,4.729444752510107
2026-04-15 21:48:52.491433,Engineering,55070.33988312712,30722.453243717897,41,228.69251384755228,4.625802018260155
2026-04-14 21:48:52.491434,Finance,79618.56795430229,58733.44370685403,27,785.359568545725,4.999435346572261
2026-04-13 21:48:52.491435,Marketing,79475.52145888197,61355.6377484047,14,656.396256984635,4.993273674147811
2026-04-12 21:48:52.491435,Engineering,20901.331720951344,8949.249052137431,9,191.0104085105112,4.110863411205255
2026-04-11 21:48:52.491436,Engineering,38560.59553677272,18646.650282719944,40,175.69612550349768,4.537974830361021
2026-04-10 21:48:52.491437,Finance,52529.89080789942,35113.994585238564,38,730.872218313208,4.889531459764856
2026-04-09 21:48:52.491437,Engineering,30171.845740498415,16397.152440437018,35,165.48670572777417,4.699294781354823
2026-04-08 21:48:52.491438,Engineering,39976.299513013815,20054.72866941849,14,839.6740533613206,3.494696203486395
2026-04-07 21:48:52.491439,Finance,47940.63494481095,24838.821298736686,23,735.6180044408466,3.9010882706201873
2026-04-06 21:48:52.491439,Finance,71019.82347040437,37570.92872274952,36,173.2139025777098,3.25831883030299
2026-04-05 21:48:52.491440,Sales,49318.96017069746,36469.78879386458,5,176.35394267667272,4.908102054517444
2026-04-04 21:48:52.491441,Marketing,53254.05089243514,24211.876092016475,9,987.9756206510579,4.21234926890176
2026-04-03 21:48:52.491441,Marketing,57686.355985574046,39432.339246167736,49,436.8437161805083,3.4572856110069257
2026-04-02 21:48:52.491442,Engineering,58152.33036863654,36120.040120066886,8,433.5779323602018,4.343401368811714
2026-04-01 21:48:52.491443,Marketing,50421.491950223026,26148.79030852799,20,831.5196105317523,4.236256480915792
2026-03-31 21:48:52.491443,Engineering,32043.694049925456,18198.00935276225,28,952.5237196454729,3.7163254360656808
2026-03-30 21:48:52.491444,Sales,61845.092071260086,31076.093634862194,20,987.4009574405839,3.227115184399258
2026-03-29 21:48:52.491445,Finance,56472.34194894563,36402.38133416841,6,778.0403667330474,4.343146391185599
2026-03-28 21:48:52.491446,Finance,33548.71552134216,14514.438187114758,32,438.6336269778242,4.040615401807587
2026-03-27 21:48:52.491446,Finance,39765.476541195916,15988.662032081684,36,175.15064502880188,4.544636783471279
2026-03-26 21:48:52.491447,Marketing,63312.674216244035,41226.53950083448,31,799.4322243346932,4.040327002223987
2026-03-25 21:48:52.491448,Sales,59082.24696271512,28224.155465014657,24,602.5638247622245,4.7043630006370805
2026-03-24 21:48:52.491448,Marketing,39195.530107117804,16790.438782086007,28,481.79980832227864,4.103813677548971
2026-03-23 21:48:52.491449,Marketing,45950.99346386464,25673.44180589489,16,915.7189465852624,4.121875943070773
2026-03-22 21:48:52.491450,Sales,47848.06655553966,20110.897043055884,39,200.0777340755362,4.75330720531669
2026-03-21 21:48:52.491450,Sales,59255.05663572695,44716.642404402024,37,543.3625938617732,3.806965732424794
